31.74.01.1006                                                                          6 Manggarai Selatan
31.74.01.1007                                                                          7 Manggarai
31.74.02.1001                                                                          1 Setia Budi
31.74.02.1002                                                                          2 Karet Semanggi
31.74.02.1003                                                                          3 Karet Kuningan
31.74.02.1004                                                                          4 Karet
31.74.02.1005                                                                          5 Menteng Atas
31.74.02.1006                                                                          6 Pasar Manggis
31.74.02.1007                                                                          7 Guntur
31.74.02.1008                                                                          8 Kuningan Timur
31.74.03.1001                                                                          1 Mampang Prapatan
31.74.03.1002                                                                          2 Bangka
31.74.03.1003                                                                          3 Pela Mampang
31.74.03.1004                                                                          4 Tegal Parang
31.74.03.1005                                                                          5 Kuningan Barat
31.74.04.1001                                                                          1 Pasar Minggu
31.74.04.1002                                                                          2 Jati Padang
31.74.04.1003                                                                          3 Cilandak Timur
31.74.04.1004                                                        4 Ragunan
31.74.04.1005                                                        5 Pejaten Timur
31.74.04.1006                                                        6 Pejaten Barat
31.74.04.1007                                                        7 Kebagusan
31.74.05.1001                                                        1 Kebayoran Lama
31.74.05.1002                                                        2 Pondok Pinang
31.74.05.1003                                                        3 Cipulir
31.74.05.1004                                                        4 Grogol Utara
31.74.05.1005                                                        5 Grogol Selatan
31.74.05.1006                                                        6 Kebayoran Lama
31.74.06.1001                                                        1 Cilandak Barat
31.74.06.1002                                                        2 Lebak Bulus
31.74.06.1003                                                        3 Pondok Labu
31.74.06.1004                                                        4 Gandaria Selatan
31.74.06.1005                                                        5 Cipete Selatan
31.74.07.1001                                                        1 Melawai
31.74.07.1002                                                        2 Gunung
31.74.07.1003                                                        3 Kramat Pela
31.74.07.1004                                                        4 Selong
31.74.07.1005                                                        5 Rawa Barat
31.74.07.1006                                                        6 Senayan
31.74.07.1007                                                        7 Pulo
31.74.07.1008                                                        8 Petogogan
31.74.07.1009                                                        9 Gandaria Utara
31.74.07.1010                                                       10 Cipete Utara
31.74.08.1001                                                        1 Pancoran
31.74.08.1002                                                        2 Kalibata
31.74.08.1003                                                        3 Rawajati
31.74.08.1004                                                        4 Duren Tiga
31.74.08.1005                                                                     5 Pengadegan
31.74.08.1006                                                                     6 Cikoko
31.74.09.1001                                                                     1 Jagakarsa
31.74.09.1002                                                                     2 Srengseng Sawah
31.74.09.1003                                                                     3 Ciganjur
31.74.09.1004                                                                     4 Lenteng Agung
31.74.09.1005                                                                     5 Tanjung Barat
31.74.09.1006                                                                     6 Cipedak
31.74.10.1001                                                                     1 Pesanggrahan
31.74.10.1002                                                                     2 Bintaro
31.74.10.1003                                                                     3 Petukangan Utara
31.74.10.1004                                                                     4 Petukangan Selatan
31.74.10.1005                                                                     5 Ulujami
31.75.01.1001                                                                     1 Pisangan Baru
31.75.01.1002                                                                     2 Utan Kayu Utara
31.75.01.1003                                                                     3 Kayu Manis
31.75.01.1004                                                                     4 Palmeriam
31.75.01.1005                                                                     5 Kebon Manggis
31.75.01.1006                                                                     6 Utan Kayu Selatan
31.75.02.1001                                                                     1 Pulo Gadung
31.75.02.1002                                                                     2 Pisangan Timur
31.75.02.1003                                                                     3 Cipinang
31.75.02.1004                                                                     4 Jatinegara Kaum
31.75.02.1005                                                                     5 Rawamangun
