65.02.07.2008                                                                           8 Belayan
65.02.07.2009                                                                           9 Sembuak Warod
65.02.07.2010                                                                          10 Lubak Manis
65.02.07.2011                                                                          11 Kelapis
65.02.07.2012                                                                          12 Semengaris                                   Surat Bup. No. 130/252/Tapem/IV/2015 tgl 3 Juni 2015
65.02.08.2001                                                                           1 Long Bila
65.02.08.2002                                                                           2 Long Kenipe
65.02.08.2003                                                                           3 Punan Bengalun
65.02.08.2004                                                                           4 Sesua
65.02.08.2005                                                                           5 Sentaban
65.02.08.2006                                                                           6 Tanjung Lapang
65.02.08.2007                                                                           7 Taras
65.02.08.2008                                                                                 8 Kuala Lapang
65.02.08.2009                                                                                 9 Sempayang
65.02.09.2001                                                                                 1 Dumu Mahak
65.02.09.2002                                                                                 2 Long Lebusan
65.02.09.2003                                                                                 3 Mahak Baru
65.02.09.2004                                                                                 4 Long Top
65.02.09.2005                                                                                 5 Agung Baru
65.02.09.2006                                                                                 6 Data Baru                                PMD
65.02.10.2001                                                                                 1 Long Ampung
65.02.10.2002                                                                                 2 Long Uro
65.02.10.2003                                                                                 3 Lidung Payau
65.02.10.2004                                                                                 4 Sungai Barang
65.02.10.2005                                                                                 5 Metulang
65.02.11.2001                                                                                 1 Long Uli
65.02.11.2002                                                                                 2 Long Alango
65.02.11.2003                                                                                 3 Long Berini
65.02.11.2004                                                                                 4 Long Tebulo
65.02.11.2005                                                                                 5 Apau Ping
65.02.11.2006                                                                                 6 Long Kemuat
65.02.12.2001                                                                                 1 Lung Fala                                Surat Bup. No. 130/252/Tapem/IV/2015 tgl 3 Juni 2015
65.02.12.2002                                                                                 2 Lung Kebinu
65.02.12.2003                                                                                 3 Lung Mekatip
65.02.12.2004                                                                                 4 Lung Simau                               Surat Bup. No. 130/252/Tapem/IV/2015 tgl 3 Juni 2015
65.02.12.2005                                                                                 5 Lung Barang
65.02.12.2006                                                                                 6 Lung Sulit
65.02.12.2007                                                                                 7 Lung Semamu                              Surat Bup. No. 130/252/Tapem/IV/2015 tgl 3 Juni 2015
65.02.13.2001                                                                                 1 Setulang                                 Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.13.2002                                                                                 2 Setarap                                  Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.13.2003                                                                                 3 Punan Setarap                            Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.13.2004                                                                                        4 Batu Kajang                                     Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.13.2005                                                                                        5 Gong Solok                                      Semula wil Kec. Malinau Selatan, Perda No. 1/2012, Surat Bup.
65.02.13.2006                                                                                        6 Punan Gong Solok                                Semula wil Kec. Malinau Selatan, Perda No. 1/2012, Surat Bup.
65.02.13.2007                                                                                        7 Long Adiu                                       Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.13.2008                                                                                        8 Punan Long Adiu                                 Semula wil Kec. Malinau Selatan, Perda No. 1/2012, Surat Bup.
65.02.14.2001                                                                                        1 Long Lake                                       Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.14.2002                                                                                        2 Punan Mirau                                     Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.14.2003                                                                                        3 Long Rat                                        Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.14.2004                                                                                        4 Halanga                                         Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.14.2005                                                                                        5 Metut                                           Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.14.2006                                                                                        6 Long Jalan                                      Semula wil Kec. Malinau Selatan, Perda No. 1/2012
65.02.14.2007                                                                                        7 Nahakramo                                       Pemekaran Desa, Perda No. 1/2012
65.02.14.2008                                                                                        8 Tanjung Nanga                                   Semula wil Kec. Malinau Selatan, Perda No. 1/2012, Surat Bup.
65.02.15.2001                                                                                        1 Long Nyau                                       Semula wil Kec. Mentarang, Perda No. 1/2012
65.02.15.2002                                                                                        2 Long Titi                                       Semula wil Kec. Mentarang, Perda No. 1/2012
65.02.15.2003                                                                                        3 Long Ranau                                      Semula wil Kec. Mentarang, Perda No. 1/2012
65.02.15.2004                                                                                        4 Rian Tubu                                       Semula wil Kec. Mentarang, Perda No. 1/2012
65.02.15.2005                                                                                        5 Long Pada                                       Semula wil Kec. Mentarang, Perda No. 1/2012
65.03.01.2001                                                                                        1 Tanjungkarang
65.03.01.2002                                                                                        2 Balansiku                                       Pemekaran sebagian Desa Tanjung Karang Perda No. 3/2010
65.03.01.2003                                                                                        3 Sungai Manurung                                 Pemekaran sebagian Desa Tanjung Karang Perda No. 3/2010
65.03.01.2004                                                                                        4 Padaidi                                         Pemekaran sebagian Desa Tanjung Aru Perda No. 3/2010
65.03.02.1001                                                                 1 Nunukan Timur
65.03.02.1002                                                                 2 Nunukan Barat
65.03.02.1003                                                                 3 Nunukan Utara
65.03.02.2004                                                                                        1 Binusan
65.03.02.1005                                                                 4 Nunukan Tengah                                                         Perda No. 2/2006
65.03.03.2001                                                                       1 Tagul
65.03.03.2002                                                                       2 Lubakan
65.03.03.2003                                                                       3 Atap
65.03.03.2004                                                                       4 Manuk Bungkul
65.03.03.2005                                                                       5 Tujung
65.03.03.2006                                                                       6 Pagar
65.03.03.2007                                                                       7 Labuk
65.03.03.2008                                                                       8 Butas Bagu
65.03.03.2009                                                                       9 Pelaju                                    Perda No. 2/2006
65.03.03.2010                                                                      10 Tepian                                    Perda No. 2/2006
65.03.04.2001                                                                       1 Deralon
65.03.04.2002                                                                       2 Liang
65.03.04.2003                                                                       3 Dabulon
65.03.04.2004                                                                       4 Taluan
65.03.04.2005                                                                       5 Podong
65.03.04.2006                                                                       6 Patal I
65.03.04.2007                                                                       7 Siawang
65.03.04.2008                                                                       8 Sapuyan
65.03.04.2009                                                                       9 Nainsid
65.03.04.2010                                                                      10 Sasibu
65.03.04.2011                                                                      11 Saludan
65.03.04.2012                                                                      12 Semalat
65.03.04.2013                                                                      13 Libang
65.03.04.2014                                                                      14 Sedongon
65.03.04.2015                                                                      15 Tanjung Hilir
65.03.04.2016                                                                      16 Sumalumung
65.03.04.2017                                                                      17 Lintong
65.03.04.2018                                                                      18 Pulu Bulawan
65.03.04.2019                                                                      19 Tanjung Hulu
65.03.04.2020                                                                      20 Patal II
