34.02.13.2003                                                                               3 Segoroyoso
34.02.13.2004                                                                               4 Bawuran
34.02.13.2005                                                                               5 Wonolelo
34.02.14.2001                                                                               1 Sitimulyo
34.02.14.2002                                                                               2 Srimulyo
34.02.14.2003                                                                               3 Srimartani
34.02.15.2001                                                                               1 Pendowoharjo
34.02.15.2002                                                                               2 Timbulharjo
34.02.15.2003                                                                               3 Bangunharjo
34.02.15.2004                                                                               4 Panggungharjo
34.02.16.2001                                                                               1 Bangunjiwo                                    Koreksi nama Lampiran Perda No 1/2015 ttg Penetapan Desa dan
34.02.16.2002                                                                               2 Tirtonirmolo
34.02.16.2003                                                                               3 Tamantirto
34.02.16.2004                                                                               4 Ngestiharjo
34.02.17.2001                                                                               1 Argodadi
34.02.17.2002                                                                               2 Argorejo
34.02.17.2003                                                                               3 Argosari
34.02.17.2004                                                                               4 Argomulyo
34.03.01.2001                                                                       1 Wonosari
34.03.01.2002                                                                       2 Kepek
34.03.01.2003                                                                       3 Piyaman
34.03.01.2004                                                                       4 Gari
34.03.01.2005                                                                       5 Karangtengah
34.03.01.2006                                                                       6 Selang
34.03.01.2007                                                                       7 Baleharjo
34.03.01.2008                                                                       8 Siraman
34.03.01.2009                                                                       9 Pulutan
34.03.01.2010                                                                      10 Wareng
34.03.01.2011                                                                      11 Duwet
34.03.01.2012                                                                      12 Mulo
34.03.01.2013                                                                      13 Wunung
34.03.01.2014                                                                      14 Karangrejek
34.03.02.2001                                                                       1 Natah
34.03.02.2002                                                                       2 Pilangrejo
34.03.02.2003                                                                       3 Kedungpoh
34.03.02.2004                                                                       4 Pengkol
34.03.02.2005                                                                       5 Kedungkeris
34.03.02.2006                                                                       6 Nglipar
34.03.02.2007                                                                       7 Katongan
34.03.03.2001                                                                       1 Banyusoco
34.03.03.2002                                                                       2 Plembutan
34.03.03.2003                                                                       3 Bleberan
34.03.03.2004                                                                       4 Getas
34.03.03.2005                                                                       5 Dengok
34.03.03.2006                                                                       6 Ngunut
34.03.03.2007                                                                       7 Playen
34.03.03.2008                                                                       8 Ngawu
34.03.03.2009                                                                       9 Bandung
34.03.03.2010                                                                      10 Logandeng
34.03.03.2011                                                                      11 Gading
34.03.03.2012                                                                      12 Banaran
34.03.03.2013                                                                      13 Ngleri
34.03.04.2001                                                                       1 Bunder
34.03.04.2002                                                                       2 Beji
34.03.04.2003                                                                       3 Pengkok
34.03.04.2004                                                                       4 Semoyo
34.03.04.2005                                                                       5 Salam
34.03.04.2006                                                                       6 Patuk
34.03.04.2007                                                                       7 Ngoro-oro
34.03.04.2008                                                                       8 Nglanggeran
34.03.04.2009                                                                       9 Putat
34.03.04.2010                                                                      10 Nglegi
34.03.04.2011                                                                      11 Terbah
34.03.05.2001                                                                       1 Sodo
34.03.05.2002                                                                       2 Pampang
34.03.05.2003                                                                       3 Grogol
34.03.05.2004                                                                       4 Karangduwet
34.03.05.2005                                                                       5 Karangasem
34.03.05.2006                                                                       6 Mulusan
34.03.05.2007                                                                       7 Giring
34.03.06.2001                                                                       1 Girikarto
34.03.06.2002                                                                       2 Girisekar
34.03.06.2003                                                                       3 Girimulyo
34.03.06.2004                                                                       4 Giriwungu
34.03.06.2005                                                                       5 Giriharjo
34.03.06.2006                                                                       6 Girisuko
34.03.07.2001                                                                       1 Giripanggung
34.03.07.2002                                                                       2 Sumberwungu
34.03.07.2003                                                                       3 Sidoharjo
34.03.07.2004                                                                       4 Tepus
34.03.07.2005                                                                        5 Purwodadi
34.03.08.2001                                                                        1 Ngeposari
34.03.08.2002                                                                        2 Semanu
34.03.08.2003                                                                        3 Pacarejo
34.03.08.2004                                                                        4 Candirejo
34.03.08.2005                                                                        5 Dadapayu
34.03.09.2001                                                                        1 Bejiharjo
34.03.09.2002                                                                        2 Wiladeg
34.03.09.2003                                                                        3 Bendungan
34.03.09.2004                                                                        4 Kelor
34.03.09.2005                                                                        5 Ngipak
34.03.09.2006                                                                        6 Karangmojo
34.03.09.2007                                                                        7 Gedangrejo
34.03.09.2008                                                                        8 Ngawis
34.03.09.2009                                                                        9 Jatiayu
34.03.10.2001                                                                        1 Umbulrejo
34.03.10.2002                                                                        2 Sawahan
34.03.10.2003                                                                        3 Tambakromo
34.03.10.2004                                                                        4 Kenteng
34.03.10.2005                                                                        5 Sumbergiri
34.03.10.2006                                                                        6 Genjahan
34.03.10.2007                                                                        7 Ponjong
34.03.10.2008                                                                        8 Karangasem
34.03.10.2009                                                                        9 Bedoyo
34.03.10.2010                                                                       10 Sidorejo
34.03.10.2011                                                                       11 Gombang
34.03.11.2001                                                                        1 Bohol
34.03.11.2002                                                                        2 Pringombo
34.03.11.2003                                                                        3 Botodayaan
34.03.11.2004                                                                        4 Petir
34.03.11.2005                                                                        5 Pucanganom
34.03.11.2006                                                                        6 Semugih
34.03.11.2007                                                                        7 Melikan
34.03.11.2008                                                                        8 Karangwuni
34.03.12.2001                                                                        1 Kalitekuk
