61.01.10.2008                                                                          8 Mukti Raharja
61.01.10.2009                                                                          9 Sempurna
61.01.10.2010                                                                         10 Mensade
61.01.10.2011                                                                         11 Karaban Jaya                               Pemekaran sebagian wil Desa Sabung Perda No. 5/2012
61.01.11.2001                                                                          1 Sagu
61.01.11.2002                                                                          2 Sungai Palah
61.01.11.2003                                                                          3 Galing
61.01.11.2004                                                                          4 Tempapan Kuala
61.01.11.2005                                                                          5 Tempapan Hulu
61.01.11.2006                                                                          6 Ratu Sepudak
61.01.11.2007                                                                          7 Tri Kembang
61.01.11.2008                                                                          8 Tri Gadu
61.01.11.2009                                                                          9 Teluk Pandan
61.01.11.2010                                                                         10 Sijang
61.01.12.2001                                                                         1 Tekarang
61.01.12.2002                                                                         2 Merubung
61.01.12.2003                                                                         3 Cepala
61.01.12.2004                                                                         4 Sari Makmur
61.01.12.2005                                                                         5 Rambayan
61.01.12.2006                                                                         6 Sempadian
61.01.12.2007                                                                         7 Matang Segarau
61.01.13.2001                                                                         1 Singa Raya
61.01.13.2002                                                                         2 Semparuk
61.01.13.2003                                                                         3 Sepinggan
61.01.13.2004                                                                         4 Sepadu
61.01.13.2005                                                                         5 Seburing
61.01.14.2001                                                                         1 Jirak
61.01.14.2002                                                                         2 Tengguli
61.01.14.2003                                                                         3 Mekar Jaya
61.01.14.2004                                                                         4 Beringin
61.01.15.2001                                                                         1 Rantau Panjang
61.01.15.2002                                                                         2 Tebing Batu
61.01.15.2003                                                                         3 Sebawi
61.01.15.2004                                                                         4 Sepuk Tanjung
61.01.15.2005                                                                         5 Sebangun
61.01.15.2006                                                                         6 Sempalai Sebedang
61.01.15.2007                                                                         7 Tempatan
61.01.16.2001                                                                         1 Jawai Laut
61.01.16.2002                                                                         2 Jelu Air
61.01.16.2003                                                                         3 Matang Terap
61.01.16.2004                                                                         4 Suah Api
61.01.16.2005                                                                         5 Sari Laba A
61.01.16.2006                                                                         6 Sari Laba B
61.01.16.2007                                                                                       7 Semperiuk A
61.01.16.2008                                                                                       8 Semperiuk B
61.01.16.2009                                                                                       9 Sabaran
61.01.17.2001                                                                                       1 Tangaran                                      Semula wil. Kec. Teluk Kramat
61.01.17.2002                                                                                       2 Simpang Empat                                 Semula wil. Kec. Teluk Kramat
61.01.17.2003                                                                                       3 Merabuan                                      Semula wil. Kec. Teluk Kramat
61.01.17.2004                                                                                       4 Semata                                        Semula wil. Kec. Teluk Kramat
61.01.17.2005                                                                                       5 Merpati                                       Semula wil. Kec. Teluk Kramat
61.01.17.2006                                                                                       6 Pancur                                        Semula wil. Kec. Teluk Kramat
61.01.17.2007                                                                                       7 Arung Parak                                   Semula wil. Kec. Teluk Kramat
61.01.17.2008                                                                                       8 Arung Medang                                  Pemekaran sebagian wil Desa Pancur Perda No. 5/2012
61.01.18.2001                                                                                       1 Parit Baru                                    Semula wil. Kec. Pemangkat
61.01.18.2002                                                                                       2 Sungai Toman                                  Semula wil. Kec. Pemangkat
61.01.18.2003                                                                                       3 Serunai                                       Semula wil. Kec. Pemangkat
61.01.18.2004                                                                                       4 Serumpun                                      Semula wil. Kec. Pemangkat
61.01.18.2005                                                                                       5 Salatiga                                      Semula wil. Kec. Pemangkat
