32.01.13.2005                                                                             5 Kedungwaringin
32.01.13.2006                                                                             6 Waringinjaya
32.01.13.1007                                                      1 Pabuaran                                                          perubahan status desa menjadi kelurahan, Srt Gub no
32.01.13.2008                                                                             7 Rawapanjang
32.01.13.2009                                                                             8 Bojonggede
32.01.14.2001                                                                             1 Leuwiliang
32.01.14.2002                                                                             2 Purasari
32.01.14.2003                                                                             3 Karyasari
32.01.14.2004                                                                             4 Pabangbon
32.01.14.2005                                                                             5 Karacak
32.01.14.2006                                                                             6 Barengkok
32.01.14.2007                                                                             7 Leuwimekar
32.01.14.2008                                                                         8 Puraseda
32.01.14.2009                                                                         9 Cibeber I
32.01.14.2010                                                                        10 Cibeber II
32.01.14.2011                                                                        11 Karehkel
32.01.15.2001                                                                         1 Ciampea
32.01.15.2002                                                                         2 Cinangka
32.01.15.2003                                                                         3 Cihideungudik
32.01.15.2004                                                                         4 Bojongjengkol
32.01.15.2005                                                                         5 Tegalwaru
32.01.15.2006                                                                         6 Cibuntu
32.01.15.2007                                                                         7 Cicadas
32.01.15.2008                                                                         8 Cibadak
32.01.15.2009                                                                         9 Bojongrangkas
32.01.15.2010                                                                        10 Cihideunghilir
32.01.15.2011                                                                        11 Cibanteng
32.01.15.2012                                                                        12 Benteng
32.01.15.2013                                                                        13 Ciampea Udik
32.01.16.2001                                                                         1 Situ Udik
32.01.16.2002                                                                         2 Situ Ilir
32.01.16.2003                                                                         3 Cemplang
32.01.16.2004                                                                         4 Cibatok I
32.01.16.2005                                                                         5 Ciaruteun Udik
32.01.16.2006                                                                         6 Leuweungkolot                              Koreksi penulisan Perda No. 3/2003
32.01.16.2007                                                                         7 Cimanggu I
32.01.16.2008                                                                         8 Cimanggu II
32.01.16.2009                                                                         9 Dukuh
32.01.16.2010                                                                        10 Cijujung
32.01.16.2011                                                                        11 Ciaruteun Ilir
32.01.16.2012                                                                        12 Cibatok II
32.01.16.2013                                                                        13 Sukamaju
32.01.16.2014                                                                        14 Galuga
32.01.16.2015                                                                        15 Girimulya
32.01.17.2001                                                                        1 Purwabakti
32.01.17.2002                                                                        2 Cibunian
32.01.17.2003                                                                        3 Cibitungwetan
32.01.17.2004                                                                        4 Gunungmenyan
32.01.17.2005                                                                        5 Gunungbunder II
32.01.17.2006                                                                        6 Pasarean
32.01.17.2007                                                                        7 Cimayang
32.01.17.2008                                                                        8 Pamijahan
32.01.17.2009                                                                        9 Cibening
32.01.17.2010                                                                       10 Gunungbunder I
32.01.17.2011                                                                       11 Cibitung Kulon
32.01.17.2012                                                                       12 Gunung Picung
32.01.17.2013                                                                       13 Ciasihan
32.01.17.2014                                                                       14 Gunungsari
32.01.17.2015                                                                       15 Ciasmara
32.01.18.2001                                                                        1 Rumpin
32.01.18.2002                                                                        2 Leuwibatu
32.01.18.2003                                                                        3 Cidokom
